market,status,side,size,maxSize,entryPrice,exitPrice,createdAt,createdAtHeight,closedAt,sumOpen,sumClose,netFunding,subaccountNumber
ARB/USDC:USDC,OPEN,,325.1,,0.61513,,,,,,,,
TRX/USDC:USDC,OPEN,,1265,,0.158109,,,,,,,,
TRX/USDC:USDC,OPEN,,1902,,0.157714,,,,,,,,
SUI/USDC:USDC,OPEN,,397.4,,1.00666,,,,,,,,
ARB/USDC:USDC,OPEN,,491.5,,0.61064,,,,,,,,,
LINK/USDC:USDC,OPEN,,24.6,,12.19043,,,,,,,,,
WLD/USDC:USDC,OPEN,,212.6,,1.88205,,,,,,,,
LTC/USDC:USDC,OPEN,,6,,66.5146,,,,,,,,,
kSHIB/USDC:USDC,OPEN,,19450,,0.01542,,,,,,,,
kPEPE/USDC:USDC,OPEN,,21642,,0.009244,,,,,,,,
SOL/USDC:USDC,OPEN,,1.26,,158.4,,,,,,,,
kBONK/USDC:USDC,OPEN,,18371,,0.021761,,,,,,,,
SEI/USDC:USDC,OPEN,,883,,0.339617,,,,,,,,
kPEPE/USDC:USDC,OPEN,,10737,,0.009311,,,,,,,,
SOL/USDC:USDC,OPEN,,1.89,,158.1533,,,,,,,,,
kSHIB/USDC:USDC,OPEN,,26008,,0.015373,,,,,,,,,
kBONK/USDC:USDC,OPEN,,23097,,0.021639,,,,,,,,
LTC/USDC:USDC,OPEN,,7.51,,66.3828,,,,,,,,
ARB/USDC:USDC,OPEN,,657.4,,0.60868,,,,,,,,
LINK/USDC:USDC,OPEN,,32.9,,12.15374,,,,,,,,
kPEPE/USDC:USDC,OPEN,,21578,,0.009265,,,,,,,,
WLD/USDC:USDC,OPEN,,267,,1.87344,,,,,,,,
kSHIB/USDC:USDC,OPEN,,32601,,0.01533,,,,,,,,
kPEPE/USDC:USDC,OPEN,,32620,,0.009194,,,,,,,,
SOL/USDC:USDC,OPEN,,2.52,,158.0225,,,,,,,,
SUI/USDC:USDC,OPEN,,498.9,,1.00203,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00312,,63959.5,,,,,,,,,
ETH/USDC:USDC,OPEN,,0.1445,,2765.19,,,,,,,,
kPEPE/USDC:USDC,OPEN,,43898,,0.009105,,,,,,,,
BNB/USDC:USDC,OPEN,,0.51,,576.916,,,,,,,,
SOL/USDC:USDC,OPEN,,3.16,,157.6574,,,,,,,,,
ARB/USDC:USDC,OPEN,,825.9,,0.60566,,,,,,,,,
kSHIB/USDC:USDC,OPEN,,39348,,0.015244,,,,,,,,
SEI/USDC:USDC,OPEN,,290,,0.34318,,,,,,,,
kBONK/USDC:USDC,OPEN,,27942,,0.021467,,,,,,,,
LINK/USDC:USDC,OPEN,,41.2,,12.13123,,,,,,,,
WLD/USDC:USDC,OPEN,,322.2,,1.86275,,,,,,,,
TON/USDC:USDC,OPEN,,49,,6.11222,,,,,,,,
kBONK/USDC:USDC,OPEN,,32858,,0.021295,,,,,,,,
WLD/USDC:USDC,OPEN,,378.1,,1.85208,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00469,,63922.5,,,,,,,,
RUNE/USDC:USDC,OPEN,,22.5,,4.4605,,,,,,,,
ARB/USDC:USDC,OPEN,,992,,0.60511,,,,,,,,
SOL/USDC:USDC,OPEN,,0.63,,158.76,,,,,,,,,
BNB/USDC:USDC,OPEN,,0.68,,575.825,,,,,,,,,
AAVE/USDC:USDC,OPEN,,3.61,,138.8539,,,,,,,,
ETH/USDC:USDC,OPEN,,0.0364,,2745.5,,,,,,,,,
ARB/USDC:USDC,OPEN,,1159.7,,0.60391,,,,,,,,
LTC/USDC:USDC,OPEN,,9.05,,66.1058,,,,,,,,,
kSHIB/USDC:USDC,OPEN,,45966,,0.015223,,,,,,,,,
kBONK/USDC:USDC,OPEN,,37621,,0.021254,,,,,,,,
TRX/USDC:USDC,OPEN,,604,,0.16538,,,,,,,,
TRX/USDC:USDC,OPEN,,1212,,0.164978,,,,,,,,
RUNE/USDC:USDC,OPEN,,-23,,4.3431,,,,,,,,
SUI/USDC:USDC,OPEN,,101.4,,0.98666,,,,,,,,
kPEPE/USDC:USDC,OPEN,,11035,,0.00907,,,,,,,,,
kSHIB/USDC:USDC,OPEN,,52655,,0.015187,,,,,,,,,
kBONK/USDC:USDC,OPEN,,42396,,0.02122,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00156,,63977,,,,,,,,
TON/USDC:USDC,OPEN,,66.7,,5.99174,,,,,,,,
SOL/USDC:USDC,OPEN,,0.63,,158.66,,,,,,,,,
kPEPE/USDC:USDC,OPEN,,22165,,0.00903,,,,,,,,
SUI/USDC:USDC,OPEN,,203.7,,0.9812,,,,,,,,,
kSHIB/USDC:USDC,OPEN,,59367,,0.015152,,,,,,,,
ETH/USDC:USDC,OPEN,,0.0729,,2739.64,,,,,,,,,
BNB/USDC:USDC,OPEN,,0.85,,573.31,,,,,,,,
kBONK/USDC:USDC,OPEN,,47242,,0.021161,,,,,,,,
AAVE/USDC:USDC,OPEN,,4.36,,137.8607,,,,,,,,
SOL/USDC:USDC,OPEN,,0.63,,159.2,,,,,,,,
kBONK/USDC:USDC,OPEN,,52056,,0.021123,,,,,,,,
BNB/USDC:USDC,OPEN,,1.02,,571.408,,,,,,,,
WLD/USDC:USDC,OPEN,,55.7,,1.798,,,,,,,,
LINK/USDC:USDC,OPEN,,8,,12.415,,,,,,,,
LINK/USDC:USDC,OPEN,,16.1,,12.37877,,,,,,,,
SUI/USDC:USDC,OPEN,,306.7,,0.97758,,,,,,,,
LTC/USDC:USDC,OPEN,,10.6,,65.841,,,,,,,,
WLD/USDC:USDC,OPEN,,111.3,,1.79964,,,,,,,,
SUI/USDC:USDC,OPEN,,410.8,,0.97351,,,,,,,,
BNB/USDC:USDC,OPEN,,1.19,,570.034,,,,,,,,,
kSHIB/USDC:USDC,OPEN,,66122,,0.015117,,,,,,,,
LTC/USDC:USDC,OPEN,,12.16,,65.574,,,,,,,,
ETH/USDC:USDC,OPEN,,0.1095,,2735.14,,,,,,,,
SOL/USDC:USDC,OPEN,,0.63,,159.18,,,,,,,,,
kPEPE/USDC:USDC,OPEN,,33369,,0.008997,,,,,,,,,
WLD/USDC:USDC,OPEN,,168.2,,1.78511,,,,,,,,,
SEI/USDC:USDC,OPEN,,283,,0.35296,,,,,,,,,
kBONK/USDC:USDC,OPEN,,56935,,0.021067,,,,,,,,
ARB/USDC:USDC,OPEN,,1328.7,,0.60228,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00313,,63784.8,,,,,,,,,
SUI/USDC:USDC,OPEN,,515.7,,0.96909,,,,,,,,
kBONK/USDC:USDC,OPEN,,61850,,0.021009,,,,,,,,
ARB/USDC:USDC,OPEN,,1497.9,,0.60099,,,,,,,,
BNB/USDC:USDC,OPEN,,1.36,,568.347,,,,,,,,
ARB/USDC:USDC,OPEN,,1670,,0.59891,,,,,,,,,
kPEPE/USDC:USDC,OPEN,,44977,,0.008899,,,,,,,,,
kSHIB/USDC:USDC,OPEN,,73038,,0.015053,,,,,,,,
ETH/USDC:USDC,OPEN,,0.1466,,2724.55,,,,,,,,
LTC/USDC:USDC,OPEN,,13.73,,65.3069,,,,,,,,,
TON/USDC:USDC,OPEN,,85.2,,5.86763,,,,,,,,
BNB/USDC:USDC,OPEN,,1.54,,566.829,,,,,,,,
WLD/USDC:USDC,OPEN,,227.4,,1.75965,,,,,,,,
