market,status,side,size,maxSize,entryPrice,exitPrice,createdAt,createdAtHeight,closedAt,sumOpen,sumClose,netFunding,subaccountNumber
FIL-USD,OPEN,LONG,499,499,3.93266132264529058118,,2024-08-24T12:59:16.751Z,23576169,,499,0,0.019353,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.175424,0,
DYDX-USD,OPEN,LONG,7529,7529,1.18055917120467525569,,2024-06-07T06:57:45.111Z,17606805,,7529,0,-15.083986,0
AVAX-USD,OPEN,LONG,108.3,108.3,24.64838411819021237305,,2024-08-25T23:53:35.013Z,23691727,,108.3,0,0.094959,0,
XRP-USD,OPEN,LONG,3160,3160,0.57987784810126582279,,2024-08-25T01:43:05.841Z,23617924,,3160,0,-0.01224,0,
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.79777,0,
DOGE-USD,OPEN,LONG,22100,22100,0.10505330316742081448,,2024-08-24T18:08:03.875Z,23593240,,22100,0,-0.125765,0
ATOM-USD,OPEN,LONG,475,475,4.91245473684210526317,,2024-08-24T21:11:07.203Z,23603237,,475,0,0.57111,0,
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.803685,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.177559,0,
DYDX-USD,OPEN,LONG,7529,7529,1.18055917120467525569,,2024-06-07T06:57:45.111Z,17606805,,7529,0,-15.091515,0
MATIC-USD,OPEN,LONG,5960,5960,0.47427063758389261745,,2024-08-25T01:42:35.289Z,23617896,,5960,0,0.008878,0,
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.805375,0,
